Question,Option A,Option B,Option C,Option D,Correct Answer,Answer Option,Year,Difficulty,Topic,Explanation
11. Indian Polity is (A) Semi-feudal in nature (B) Unitary in nature (C) Federal in nature (D) None of these.,Semi-feudal in nature,Unitary in nature,Federal in nature,None of these.,Semi-feudal in nature.,A,,Medium,Miscellaneous,
12. The Indian Constitution provides for a form of government which is (A) Unitary (B) Federal (C) Quasi-federal (D) None of these.,Unitary,Federal,Quasi-federal,None of these.,Quasi-federal.,C,,Medium,Miscellaneous,
"13. Which of the following was the biggest source for the Constitution of India? (A) The Indian Independence Act, 1947 (B) Indian Councils Act 1909 (C) The Government of India Act, 1919 (D) The government of India Act, 1935.","The Indian Independence Act, 1947",Indian Councils Act 1909,"The Government of India Act, 1919","The government of India Act, 1935.","The government of India Act, 1935..",D,,Medium,Miscellaneous,
14. In whose report the idea of a federation of states was first proposed? (A) Motilal Nehru (B) Shyamaprasad Mukherjee (C) Rajagopalachari (D) Sarat Bose.,Motilal Nehru,Shyamaprasad Mukherjee,Rajagopalachari,Sarat Bose.,Motilal Nehru.,A,,Medium,Miscellaneous,
"15. Who, among the following, was the Chairperson of the Drafting Committee set up by the Constituent Assembly? (A) Dr. B. R. Ambedkar (B) Vallab Bhai Patel (C) Jawaharlal Nehru (D) Dr. Rajendra Prasad.",Dr. B. R. Ambedkar,Vallab Bhai Patel,Jawaharlal Nehru,Dr. Rajendra Prasad.,Dr. B. R. Ambedkar.,A,,Medium,Making of the Constitution,
"16. What is the proper connotation of the term 'secularism'? (A) The State should promote dominant religion (B) In the affairs of Governance and formulation of State Policies, the State is not guided by religious considerations (C) The State is the patron of all religions (D) None of the above.",The State should promote dominant religion,"In the affairs of Governance and formulation of State Policies, the State is not guided by religious considerations",The State is the patron of all religions,None of the above.,"In the affairs of Governance and formulation of State Policies, the State is not guided by religious considerations.",B,,Medium,Miscellaneous,
17. The system of Government in India is actually (A) Unitary with federal features (B) Quasi-federal (C) Federal (D) Unitary.,Unitary with federal features,Quasi-federal,Federal,Unitary.,Unitary with federal features.,A,,Medium,Miscellaneous,
18. The President of the Constituent Assembly of 1946 was (A) Vallabhai Patel (B) Abul Kalam Azad (C) Dr. Rajendra Prasad (D) Jawaharlal Nehru.,Vallabhai Patel,Abul Kalam Azad,Dr. Rajendra Prasad,Jawaharlal Nehru.,Dr. Rajendra Prasad.,C,,Medium,Making of the Constitution,
19. The Constitution of which one of the following countries conventions play a prominent role? (A) Indian Constitution (B) British Constitution (C) US Constitution (D) French Constitution.,Indian Constitution,British Constitution,US Constitution,French Constitution.,British Constitution.,B,,Medium,Miscellaneous,
20. The Constitution of Independent India was put in practice on (A) 26th January 1950 (B) 26th January 1951 (C) 15th August 1947 (D) 26th November 1949.,26th January 1950,26th January 1951,15th August 1947,26th November 1949.,26th January 1950.,A,,Medium,Miscellaneous,
21. The concept of welfare state is included in the Constitution of India in the (A) Fourth Schedule. (B) Directive Principles of State Policy. (C) Preamble. (D) Fundamental Rights.,Fourth Schedule.,Directive Principles of State Policy.,Preamble.,Fundamental Rights.,Directive Principles of State Policy..,B,,Medium,Preamble of the Constitution,
22. In which year was the part on Fundamental Duties included in the Constitution by the Indian Parliament? (A) 1980. (B) 1982. (C) 1976. (D) 1987.,1980.,1982.,1976.,1987.,1976..,C,,Medium,Fundamental Duties,
23. Article 24 of the Indian Constitution prohibits employment of children in any factory below the age of (A) 7 years. (B) 15 years. (C) 14 years. (D) 12 years.,7 years.,15 years.,14 years.,12 years.,14 years..,C,,Medium,Miscellaneous,
24. In which year was passed the Congress resolution on Fundamental Rights and National Economic Policy? (A) 1921. (B) 1935. (C) 1940. (D) 1931.,1921.,1935.,1940.,1931.,1931..,D,,Medium,Miscellaneous,
25. Article 25 of the Constitution of India relates to (A) Rights against exploitation. (B) A ban on religious instruction in government institutions. (C) Cultural and educational rights. (D) Rights to freedom of religion.,Rights against exploitation.,A ban on religious instruction in government institutions.,Cultural and educational rights.,Rights to freedom of religion.,Rights to freedom of religion..,D,,Medium,Miscellaneous,
26. Which Article of the Constitution of India states that no religious instruction shall be provided in any educational institution wholly maintained out of State funds? (A) Article 27. (B) Article 28. (C) Article 25. (D) Article 26.,Article 27.,Article 28.,Article 25.,Article 26.,Article 28..,B,,Medium,Miscellaneous,
27. Which Article of the Constitution of India gives a working definition of the Indian State? (A) Article 12. (B) Article 13. (C) Article 10. (D) Article 11.,Article 12.,Article 13.,Article 10.,Article 11.,Article 12..,A,,Medium,Miscellaneous,
28. Which one of the following is not a fundamental right under the Indian Constitution? (A) The right to property. (B) The right against exploitation. (C) The right to equality. (D) The right to liberty.,The right to property.,The right against exploitation.,The right to equality.,The right to liberty.,The right to property..,A,,Medium,Miscellaneous,
29. The right to education for all between 6 and 14 years of age has been included as a fundamental right in the Indian Constitution in (A) 2002. (B) 2000. (C) 1998. (D) 2001.,2002.,2000.,1998.,2001.,2002..,A,,Medium,Miscellaneous,
30. Equal pay for equal work for both men and women is a (A) Fundamental Right. (B) Statutory Provision in Labour Law. (C) Directive Principle of State Policy. (D) None of the above.,Fundamental Right.,Statutory Provision in Labour Law.,Directive Principle of State Policy.,None of the above.,Directive Principle of State Policy..,C,,Medium,Miscellaneous,
31. Which of the following Fundamental Rights was described by Dr. B. R. Ambedkar as the heart and soul of the Constitution? (A) Right to constitutional remedies. (B) Right to religion. (C) Right to property. (D) All of these.,Right to constitutional remedies.,Right to religion.,Right to property.,All of these.,Right to constitutional remedies..,A,,Medium,Fundamental Rights,
32. Which of the following is not included in the Fundamental Rights of the Constitution? (A) Right against exploitation. (B) Right to adequate means of Livelihood. (C) Right to Equality. (D) Right to Freedom.,Right against exploitation.,Right to adequate means of Livelihood.,Right to Equality.,Right to Freedom.,Right to adequate means of Livelihood..,B,,Medium,Miscellaneous,
33. Which part of the Constitution directs the State to establish a Panchayati Raj institution in the country? (A) The Fundamental Rights. (B) The Directive Principles of State Policy. (C) The Preamble. (D) None of the above.,The Fundamental Rights.,The Directive Principles of State Policy.,The Preamble.,None of the above.,The Directive Principles of State Policy..,B,,Medium,Preamble of the Constitution,
34. Fundamental Duties have been included in the Indian Constitution in the (A) Ninth Schedule. (B) 42nd Amendment. (C) The chapter on Fundamental Rights. (D) The chapter on Directive Principles of State Policy.,Ninth Schedule.,42nd Amendment.,The chapter on Fundamental Rights.,The chapter on Directive Principles of State Policy.,42nd Amendment..,B,,Medium,Directive Principles of State Policy,
"35. Which one, out of the following, is not a fundamental right? (A) The right to strike. (B) The right against exploitation. (C) The rights to equality. (D) The rights to freedom of religion.",The right to strike.,The right against exploitation.,The rights to equality.,The rights to freedom of religion.,The right to strike..,A,,Medium,Miscellaneous,
"36. The framers of the Constitution borrowed the concept of Directive Principles from (A) The Constitution of USSR. (B) The Constitution of Switzerland. (C) The Constitution of the Irish Republic. (D) The Government of India Act, 1935.",The Constitution of USSR.,The Constitution of Switzerland.,The Constitution of the Irish Republic.,"The Government of India Act, 1935.",The Constitution of the Irish Republic..,C,,Medium,Miscellaneous,
37. Freedom of Speech is a (A) Grant by State Legislature. (B) Directive Principle. (C) Fundamental Right. (D) None of the above.,Grant by State Legislature.,Directive Principle.,Fundamental Right.,None of the above.,Fundamental Right..,C,,Medium,State Legislature,
"38. Which Article of the Constitution of India states that subject to certain limitations, every religious denomination shall have the right to establish and maintain institutions for religious and charitable purposes? (A) Article 26. (B) Article 27. (C) Article 24. (D) Article 25.",Article 26.,Article 27.,Article 24.,Article 25.,Article 26..,A,,Medium,Miscellaneous,
39. Which Article of the Constitution of India guarantees to all citizens the freedom of speech and expression? (A) Article 18. (B) Article 19. (C) Article 16. (D) Article 17.,Article 18.,Article 19.,Article 16.,Article 17.,Article 19..,B,,Medium,Fundamental Rights,
"40. Which Article of the Constitution of India states that no citizen shall be denied admission into any educational institution maintained by the State on receiving aid out of State funds on grounds only of religion, race, caste, language or any of them? (A) Article 28. (B) Article 29. (C) Article 26. (D) Article 27.",Article 28.,Article 29.,Article 26.,Article 27.,Article 29..,B,,Medium,Miscellaneous,
41. The Rajya Sabha Ethics Committee formed in March 1997 to deal with the ethical behavior of members of parliament is headed by (A) Mrs. Renuka Chowdhury (B) Mr. S. B. Chavan (C) The Vice President (D) The Prime Minister.,Mrs. Renuka Chowdhury,Mr. S. B. Chavan,The Vice President,The Prime Minister.,Mr. S. B. Chavan.,A,,Medium,Prime Minister,
42. Any money bill cannot be introduced int he Parliament without the consent of the (A) President of India (B) Union Finance Minister (C) Prime Minister of India (D) Speaker of the Parliament.,President of India,Union Finance Minister,Prime Minister of India,Speaker of the Parliament.,President of India.,A,,Medium,Prime Minister,
43. Which one of the following office has not been provided by the Indian Constitution? (A) Deputy Speaker of State Legislative Assembly (B) Deputy Prime Minister (C) Deputy Chairman of Rajya Sabha (D) Deputy Speaker of Lok Sabha.,Deputy Speaker of State Legislative Assembly,Deputy Prime Minister,Deputy Chairman of Rajya Sabha,Deputy Speaker of Lok Sabha.,Deputy Prime Minister.,B,,Medium,Prime Minister,
44. The upper House of the State Legislature is called (A) Bidhan Sabha (B) Bidhan Parishad (C) Lok Sabha (D) Rajya Sabha.,Bidhan Sabha,Bidhan Parishad,Lok Sabha,Rajya Sabha.,Bidhan Parishad.,B,,Medium,State Legislature,
45. Which of the following bodies can be prorogued cannot be dissolved? (A) Lok Sabha (B) Rajya Sabha (C) Governing Council of a Union Territory (D) Municipal Corporation.,Lok Sabha,Rajya Sabha,Governing Council of a Union Territory,Municipal Corporation.,Rajya Sabha.,B,,Medium,Parliament,
"46. From the point of view of dignity, the Speaker of the Lok Sabha is equivalent to (A) Chief Justice of a High Court (B) Chief Justice of the Supreme Court (C) Central Minister (D) State Minister.",Chief Justice of a High Court,Chief Justice of the Supreme Court,Central Minister,State Minister.,Chief Justice of the Supreme Court.,B,,Medium,Parliament,
47. The total strength of the Rajya Sabha cannot exceed (A) 310 members (B) 350 members (C) 150 members (D) 250 members.,310 members,350 members,150 members,250 members.,250 members..,D,,Medium,Parliament,
48. Rajya Sabha (A) Only discuss about the Ministers (B) Does not control the Council of Ministers (C) Does control the Council of Ministers (D) Approves the action of the Ministers.,Only discuss about the Ministers,Does not control the Council of Ministers,Does control the Council of Ministers,Approves the action of the Ministers.,Only discuss about the Ministers.,A,,Medium,Council of Ministers,
49. Minimum age an Indian citizen to be elected for Lok Sabha is (A) 25 years (B) 35 years (C) 18 years (D) 20 years.,25 years,35 years,18 years,20 years.,25 years.,A,,Medium,Parliament,
"50. In which House of the Parliament, the Presiding Officer is not a member of the House? (A) Vidhan Sabha (B) Vidhan Parishad (C) Lok Sabha (D) Rajya Sabha.",Vidhan Sabha,Vidhan Parishad,Lok Sabha,Rajya Sabha.,Rajya Sabha..,D,,Medium,Parliament,
51. The Speaker of the Lok Sabha (A) Has no right to vote (B) Has to votes one in the ordinary course and another in case of a tie. (C) Votes only in case of a tie (D) Votes like any other member of the Lok Sabha.,Has no right to vote,Has to votes one in the ordinary course and another in case of a tie.,Votes only in case of a tie,Votes like any other member of the Lok Sabha.,Votes only in case of a tie.,C,,Medium,Parliament,
52. To be granted the status of the official opposition in a legislature a political party must have at least (A) 5 percent of elected members (B) 7 percent of elected members. (C) 10 percent of elected members (D) 15 percent of elected members.,5 percent of elected members,7 percent of elected members.,10 percent of elected members,15 percent of elected members.,10 percent of elected members.,C,,Medium,Miscellaneous,
53. Find the incorrect statement (A) The President is elected for a term of five years (B) The President can be removed by impeachment. (C) The President presides over cabinet meetings (D) The President is elected by the system of proportional representation,The President is elected for a term of five years,The President can be removed by impeachment.,The President presides over cabinet meetings,The President is elected by the system of proportional representation,The President presides over cabinet meetings.,C,,Medium,Miscellaneous,
54. To pass a Money Bill in the Parliament which of the following is not necessary? (A) Approval of the Rajya Sabha (B) Approval of the Finance Minister. (C) Approval of the Lok Sabha (D) None of the above,Approval of the Rajya Sabha,Approval of the Finance Minister.,Approval of the Lok Sabha,None of the above,Approval of the Finance Minister..,B,,Medium,Parliament,
55. The leader of the Opposition in the Lok Sabha enjoys the rank of a — (A) High Court Judge (B) Supreme Court Judge. (C) Central Minister (D) Governor,High Court Judge,Supreme Court Judge.,Central Minister,Governor,Central Minister.,C,,Medium,Parliament,
"56. Consider the following statements 1. Rajya Sabha is a permanent body 2. Every member of the Rajya Sabha is entitled to a maximum term of five years. 3. Rajya Sabha can make laws on subjects mentioned in the State List. Which of the above statements is/are correct? (A) 2 only (B) None of 1, 2 & 3 (C) 2 and 3 (D) 1 and 3",2 only,"None of 1, 2 & 3",2 and 3,1 and 3,1 and 3.,D,,Medium,Parliament,
57. The Lok Sabha in India can be dissolved by the (A) President of India on the advice of the Prime Minister. (B) Speaker of the Lok Sabha on the advice of the Prime (C) Chief Justice of the Supreme Court (D) Prime Minister,President of India on the advice of the Prime Minister.,Speaker of the Lok Sabha on the advice of the Prime,Chief Justice of the Supreme Court,Prime Minister,President of India on the advice of the Prime Minister..,A,,Medium,Prime Minister,
58. The Union Budget is laid before the two Houses of Parliament in accordance with Article No. of Indian Constitution. (A) 360 (B) 370 (C) 73 (D) 112,360,370,73,112,112.,D,,Medium,Parliament,
"59. The Parliament of India consists of (A) The Lok Sabha, Speaker, and Prime Minister. (B) The Lok Sabha and Rajya Sabha (C) The President, Lok Sabha and Rajya Sabha (D) None of the above","The Lok Sabha, Speaker, and Prime Minister.",The Lok Sabha and Rajya Sabha,"The President, Lok Sabha and Rajya Sabha",None of the above,"The President, Lok Sabha and Rajya Sabha.",C,,Medium,Prime Minister,
60. A Money Bill can originate (A) Only in the Rajya Sabha (B) Only in the joint sitting of the two Houses. (C) In either House of Parliament (D) Only in the Lok Sabha,Only in the Rajya Sabha,Only in the joint sitting of the two Houses.,In either House of Parliament,Only in the Lok Sabha,Only in the Lok Sabha.,D,,Medium,Parliament,
61. The first speaker of Lok Sabha was (A) Hukam Singh (B) Ganesh Vasudeo Mavalankar (C) G. S. Dhillon (D) AnanthasayanamAyyangar,Hukam Singh,Ganesh Vasudeo Mavalankar,G. S. Dhillon,AnanthasayanamAyyangar,Ganesh Vasudeo Mavalankar.,B,,Medium,Parliament,
62. The maximum term of a member of the Rajya Sabha is (A) Four years (B) Six years (C) Five years (D) Three years,Four years,Six years,Five years,Three years,Six years.,B,,Medium,Parliament,
63. The ceiling on the election expenditure for the Lok Sabha been raised from Rs. 15 lakhs to Rs. lakhs (A) Rs. 25 Lakhs (B) Rs. 22 lakhs (C) Rs. 23 lakhs (D) Rs. 15 lakhs,Rs. 25 Lakhs,Rs. 22 lakhs,Rs. 23 lakhs,Rs. 15 lakhs,Rs. 25 Lakhs.,A,,Medium,Parliament,
64. Find out the incorrect statement. The Council of States (A) has no effective control over the Executive (B) is presided over by the Vice-President of India (C) has no power over the money bill (D) has power over the money bill,has no effective control over the Executive,is presided over by the Vice-President of India,has no power over the money bill,has power over the money bill,has power over the money bill.,D,,Medium,Parliament,
65. Rajya Sabha is presided over by the (A) Vice-President (B) Home Minister (C) President (D) Prime Minister,Vice-President,Home Minister,President,Prime Minister,Vice-President.,A,,Medium,Prime Minister,
66. President of India is directly elected by (A) MPs (B) Elected MLAs and MPs (C) The people of India (D) Cabinet Minister,MPs,Elected MLAs and MPs,The people of India,Cabinet Minister,Elected MLAs and MPs.,B,,Medium,Miscellaneous,
67. The Supreme Commander of the Indian Armed Force is (A) Prime Minister of India (B) Union Home Minister (C) President of India (D) Governors of States,Prime Minister of India,Union Home Minister,President of India,Governors of States,President of India.,C,,Medium,Prime Minister,
68. The first Vice-President of India was (A) Dr. Zakir Hussain (B) V. V. Giri (C) G.S. Pathak (D) Dr. S. Radhakrishnan,Dr. Zakir Hussain,V. V. Giri,G.S. Pathak,Dr. S. Radhakrishnan,Dr. S. Radhakrishnan.,A,,Medium,Miscellaneous,
69. The first citizen of the Republic of India is (A) the Prime Minister of India. (B) the Speaker of the Lok Sabha. (C) the Chief Justice of the Supreme Court. (D) the President of India,the Prime Minister of India.,the Speaker of the Lok Sabha.,the Chief Justice of the Supreme Court.,the President of India,the President of India.,D,,Medium,Prime Minister,
70. The Vice-President of India is elected by the (A) Members of Lok Sabha and Rajya Sabha (B) President (C) People of the country (D) Members of Rajya Sabha,Members of Lok Sabha and Rajya Sabha,President,People of the country,Members of Rajya Sabha,Members of Lok Sabha and Rajya Sabha.,A,,Medium,Parliament,
71. The President of India can be impeached by (A) Central Cabine (B) Parliament (C) Special tribunal (D) Supreme Court.,Central Cabine,Parliament,Special tribunal,Supreme Court.,Parliament.,B,,Medium,Parliament,
72. The Parliament has the power to legislate with respect to a matter in the State List provided it is the (A) interest of the underprivileged (B) interest of the minority (C) National Interest (D) interest of the concerned State,interest of the underprivileged,interest of the minority,National Interest,interest of the concerned State,National Interest.,C,,Medium,Parliament,
73. The President of India can declare an emergency if there is (A) Failure of Constitutional Machinery (B) War or threat of war (C) Financial Instability (D) Any of these three,Failure of Constitutional Machinery,War or threat of war,Financial Instability,Any of these three,Any of these three.,D,,Medium,Miscellaneous,
74. The President of India can declare Financial Emergency under (A) Article 363 (B) Article 356 (C) Article 352 (D) None of these,Article 363,Article 356,Article 352,None of these,None of these.,D,,Medium,Emergency Provisions,
75. How many times has a national emergency been declared so far by the president? (A) Only once (B) Twice (C) Thrice (D) Never,Only once,Twice,Thrice,Never,Thrice.,C,,Medium,Miscellaneous,
76. How many different types of emergencies are envisaged by the Constitution? (A) 3 (B) 4 (C) 2 (D) None,3,4,2,None,3.,A,,Medium,Miscellaneous,
77. How many times did the President of India declare National Emergency so far? (A) Only once (B) Only twice (C) Thrice (D) Never,Only once,Only twice,Thrice,Never,Never.,D,,Medium,Miscellaneous,
78. Which Indian State came under Presidents Rule for the Maximum number of times: (A) Kerala (B) Karnataka (C) Punjab (D) Himachal Pradesh,Kerala,Karnataka,Punjab,Himachal Pradesh,Punjab.,C,,Medium,Miscellaneous,
79. What is the minimum period of stay for a person applying for Indian citizenship? (A) 6 years (B) 10 years (C) 3 years (D) 5 years,6 years,10 years,3 years,5 years,5 years.,D,,Medium,Miscellaneous,
80. The first general election of Independent India was held in (A) 1952 (B) 1962 (C) 1949 (D) 1951,1952,1962,1949,1951,1952.,A,,Medium,Miscellaneous,
81. A bill of a state legislature becomes an Act when (A) The Chief Minister signs it (B) The Departmental minister signs it (C) The speaker signs it (D) The Governor of the State signs it,The Chief Minister signs it,The Departmental minister signs it,The speaker signs it,The Governor of the State signs it,The Governor of the State signs it.,D,,Medium,Chief Minister,
82. The executive powers of the State are vested in the Governor under Article of the Constitution. (A) Article 14 (B) Article 356 (C) Article 154(1) (D) Article 155,Article 14,Article 356,Article 154(1),Article 155,Article 154(1).,C,,Medium,Fundamental Rights,
83. West Bengal Legislative Council was abolished in the year (A) 1969 (B) 1971 (C) 1965 (D) 1967,1969,1971,1965,1967,1969.,A,,Medium,Miscellaneous,
84. The Right to Information Act is applicable to the whole of India except to the state of (A) Manipur (B) Nagaland (C) Jammu & Kashmir (D) Mizoram,Manipur,Nagaland,Jammu & Kashmir,Mizoram,Jammu & Kashmir.,C,,Medium,Miscellaneous,
85. The Prime Minister is (A) Appointed by President (B) Elected by the Lok Sabha and appointed by the President (C) Elected by the Lok Sabha (D) Elected by the two houses of the Parliament at a joint sitting,Appointed by President,Elected by the Lok Sabha and appointed by the President,Elected by the Lok Sabha,Elected by the two houses of the Parliament at a joint sitting,Elected by the Lok Sabha and appointed by the President.,B,,Medium,Prime Minister,
86. The Union Ministers hold office during the pleasure of (A) The Speaker of the Lok Sabha (B) The Chief Justice of the Supreme Court of India (C) The President (D) The Prime Minister,The Speaker of the Lok Sabha,The Chief Justice of the Supreme Court of India,The President,The Prime Minister,The President.,C,,Medium,Prime Minister,
87. Who was the first Deputy Prime Minister of India? (A) Charan Singh (B) Sardar Vallabhbhai Patel (C) L. K. Advani (D) Morarji Desai,Charan Singh,Sardar Vallabhbhai Patel,L. K. Advani,Morarji Desai,Sardar Vallabhbhai Patel.,B,,Medium,Prime Minister,
88. The first Indian Prime Minister who did not belong to the then Indian National Congress? (A) Chandra Shekhar (B) Morarji Desai (C) Charan Singh (D) Vishwanath Pratap Singh,Chandra Shekhar,Morarji Desai,Charan Singh,Vishwanath Pratap Singh,Morarji Desai.,B,,Medium,Prime Minister,
89. Which Article of the Constitution of India defines the name and the territory of India? (A) Article 3 (B) Article 4 (C) Article 1 (D) Article 2,Article 3,Article 4,Article 1,Article 2,Article 1.,C,,Medium,Miscellaneous,
90. Which part of the Constitution deals with citizenship? (A) Part 3 (B) Part 4 (C) Part 1 (D) Part 2,Part 3,Part 4,Part 1,Part 2,Part 2.,D,,Medium,Miscellaneous,
"91. Under which article of the Constitution, the Government has awarded Bharat and Padmashri awards? (A) Article 18 (B) Article 14 (C) Article 15 (D) Article 19",Article 18,Article 14,Article 15,Article 19,Article 18.,A,,Medium,Fundamental Rights,
"92. 1972 Who was one of the advocates of ""United Sovereign Bengal"" (A) Maulana Abul Kalam Azad (B) Shyamaprasau Mukherjee (C) H. S. Surhawardi (D) None of the above",Maulana Abul Kalam Azad,Shyamaprasau Mukherjee,H. S. Surhawardi,None of the above,H. S. Surhawardi.,C,,Medium,Miscellaneous,
"93. Consider the following statements about the Right to Education Bill 1. The preliminary work on the Bill was initiated by the UPA government. 2. One of the key provisions of the Bill is to ensure 25% reservation in private schools for disadvantaged children from the neighborhood, at the entry level. 3. The Bill also prohibits physical punishment expulsion or detention of a child. Which of the statements given above is/are correct? (A) 1 only (B) 2 and 3 (C) 2 only (D) All of 1, 2 and 3",1 only,2 and 3,2 only,"All of 1, 2 and 3",2 and 3.,B,,Medium,Miscellaneous,
